Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
27-05-2020,10:53,INT.AIRL.GRP,ES0177542018,MAD,-884,EUR,2.7900,EUR,2466.36,EUR,2466.36,,EUR,-1.23,EUR,2465.13,3308822b-29e9-4674-8ad3-9d1688c290e6
27-05-2020,10:53,INT.AIRL.GRP,ES0177542018,MAD,-116,EUR,2.7900,EUR,323.64,EUR,323.64,,EUR,-2.16,EUR,321.48,3308822b-29e9-4674-8ad3-9d1688c290e6
26-05-2020,14:58,INT.AIRL.GRP,ES0177542018,MAD,500,EUR,2.5720,EUR,-1286.00,EUR,-1286.00,,EUR,-0.64,EUR,-1286.64,e0437d02-0a7c-4fa4-8e87-528cf9789cf4
26-05-2020,14:57,INT.AIRL.GRP,ES0177542018,MAD,500,EUR,2.5720,EUR,-1286.00,EUR,-1286.00,,EUR,-2.64,EUR,-1288.64,e0437d02-0a7c-4fa4-8e87-528cf9789cf4
26-05-2020,13:14,PHARMA MAR SA,ES0169501030,MAD,-500,EUR,5.8500,EUR,2925.00,EUR,2925.00,,EUR,-3.46,EUR,2921.54,b517fad7-75a6-4bd4-acca-74b851c896a1
25-05-2020,13:13,ACCIONA,ES0125220311,MAD,-30,EUR,84.6000,EUR,2538.00,EUR,2538.00,,EUR,-3.27,EUR,2534.73,17d0e182-06ca-42d4-b310-a90263835332
25-05-2020,11:38,INDITEX,ES0148396007,MAD,100,EUR,23.6100,EUR,-2361.00,EUR,-2361.00,,EUR,-3.18,EUR,-2364.18,674345d0-6237-4f0d-9bfc-dfceaa19541f
22-05-2020,10:59,PHARMA MAR SA,ES0169501030,MAD,500,EUR,5.6500,EUR,-2825.00,EUR,-2825.00,,EUR,-3.41,EUR,-2828.41,cf909d43-71ff-4e25-8ffa-24a5c6b84a25
22-05-2020,09:15,ACCIONA,ES0125220311,MAD,30,EUR,82.1000,EUR,-2463.00,EUR,-2463.00,,EUR,-3.23,EUR,-2466.23,c59b7f01-ab6b-4329-90c3-d8ae55f34e67
21-05-2020,15:48,PHARMA MAR SA,ES0169501030,MAD,-401,EUR,5.6100,EUR,2249.61,EUR,2249.61,,EUR,-1.12,EUR,2248.49,107bcb23-630d-4f4b-a284-ddfc6f07d296
21-05-2020,15:48,PHARMA MAR SA,ES0169501030,MAD,-99,EUR,5.6100,EUR,555.39,EUR,555.39,,EUR,-2.28,EUR,553.11,107bcb23-630d-4f4b-a284-ddfc6f07d296
21-05-2020,10:59,ACCIONA,ES0125220311,MAD,-30,EUR,83.4500,EUR,2503.50,EUR,2503.50,,EUR,-3.25,EUR,2500.25,1a663977-4014-47cd-86a0-df3bfaa6c6d0
21-05-2020,09:00,INDITEX,ES0148396007,MAD,100,EUR,23.1400,EUR,-2314.00,EUR,-2314.00,,EUR,-3.16,EUR,-2317.16,6945c870-e382-494a-8d19-b0903a1ed5cc
20-05-2020,16:57,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-300,EUR,7.0700,EUR,2121.00,EUR,2121.00,,EUR,-3.06,EUR,2117.94,bb935296-9b5f-4194-9ed5-83d92c65b028
20-05-2020,12:04,ACCIONA,ES0125220311,MAD,30,EUR,81.1000,EUR,-2433.00,EUR,-2433.00,,EUR,-3.22,EUR,-2436.22,0927a3db-b3b4-419c-a10b-d6f081e7f9e1
